cause_import_animal_welfare,cause_import_cause_prioritization,cause_import_biosecurity,cause_import_climate_change,cause_import_nuclear_security,cause_import_ai,cause_import_mental_health,cause_import_poverty,cause_import_rationality,cause_import_meta,cause_import_xrisk_other,cause_import_animal_welfare_b,cause_import_cause_prioritization_b,cause_import_biosecurity_b,cause_import_climate_change_b,cause_import_nuclear_security_b,cause_import_ai_b,cause_import_mental_health_b,cause_import_poverty_b,cause_import_rationality_b,cause_import_meta_b,cause_import_xrisk_other_b
This cause should be a near-top priority,This cause should be the top priority<e5><ca>(Please choose one),This cause should be a near-top priority,"I do not think this is a priority, but should receive some resources",This cause deserves significant resources but less than the top priorities,This cause should be the top priority<e5><ca>(Please choose one),"I do not think this is a priority, but should receive some resources","I do not think this is a priority, but should receive some resources",This cause should be a near-top priority,This cause should be the top priority<e5><ca>(Please choose one),This cause should be a near-top priority,This cause should be a near-top priority,This cause should be the top priority<e5><ca>(Please choose one),This cause should be a near-top priority,"I do not think this is a priority, but should receive some resources",This cause deserves significant resources but less than the top priorities,This cause should be the top priority<e5><ca>(Please choose one),"I do not think this is a priority, but should receive some resources","I do not think this is a priority, but should receive some resources",This cause should be a near-top priority,This cause should be the top priority<e5><ca>(Please choose one),This cause should be a near-top priority
This cause should be a near-top priority,This cause should be the top priority<e5><ca>(Please choose one),This cause should be a near-top priority,This cause should be a near-top priority,This cause deserves significant resources but less than the top priorities,This cause deserves significant resources but less than the top priorities,This cause deserves significant resources but less than the top priorities,This cause should be a near-top priority,"I do not think this is a priority, but should receive some resources",This cause should be a near-top priority,This cause should be a near-top priority,This cause should be a near-top priority,This cause should be the top priority<e5><ca>(Please choose one),This cause should be a near-top priority,This cause should be a near-top priority,This cause deserves significant resources but less than the top priorities,This cause deserves significant resources but less than the top priorities,This cause deserves significant resources but less than the top priorities,This cause should be a near-top priority,"I do not think this is a priority, but should receive some resources",This cause should be a near-top priority,This cause should be a near-top priority
"I do not think this is a priority, but should receive some resources",I do not think any resources should be devoted to this cause,This cause deserves significant resources but less than the top priorities,This cause deserves significant resources but less than the top priorities,"I do not think this is a priority, but should receive some resources","I do not think this is a priority, but should receive some resources",Not considered / Not sure,This cause should be the top priority<e5><ca>(Please choose one),I do not think any resources should be devoted to this cause,Not considered / Not sure,"I do not think this is a priority, but should receive some resources","I do not think this is a priority, but should receive some resources",I do not think any resources should be devoted to this cause,This cause deserves significant resources but less than the top priorities,This cause deserves significant resources but less than the top priorities,"I do not think this is a priority, but should receive some resources","I do not think this is a priority, but should receive some resources",Not considered / Not sure,This cause should be the top priority<e5><ca>(Please choose one),I do not think any resources should be devoted to this cause,Not considered / Not sure,"I do not think this is a priority, but should receive some resources"
This cause deserves significant resources but less than the top priorities,This cause should be a near-top priority,This cause deserves significant resources but less than the top priorities,This cause deserves significant resources but less than the top priorities,This cause deserves significant resources but less than the top priorities,This cause should be a near-top priority,This cause deserves significant resources but less than the top priorities,This cause should be a near-top priority,This cause deserves significant resources but less than the top priorities,This cause should be the top priority<e5><ca>(Please choose one),This cause deserves significant resources but less than the top priorities,This cause deserves significant resources but less than the top priorities,This cause should be a near-top priority,This cause deserves significant resources but less than the top priorities,This cause deserves significant resources but less than the top priorities,This cause deserves significant resources but less than the top priorities,This cause should be a near-top priority,This cause deserves significant resources but less than the top priorities,This cause should be a near-top priority,This cause deserves significant resources but less than the top priorities,This cause should be the top priority<e5><ca>(Please choose one),This cause deserves significant resources but less than the top priorities
This cause should be a near-top priority,This cause deserves significant resources but less than the top priorities,This cause deserves significant resources but less than the top priorities,This cause should be a near-top priority,This cause should be a near-top priority,This cause deserves significant resources but less than the top priorities,This cause deserves significant resources but less than the top priorities,This cause should be a near-top priority,"I do not think this is a priority, but should receive some resources",This cause deserves significant resources but less than the top priorities,This cause deserves significant resources but less than the top priorities,This cause should be a near-top priority,This cause deserves significant resources but less than the top priorities,This cause deserves significant resources but less than the top priorities,This cause should be a near-top priority,This cause should be a near-top priority,This cause deserves significant resources but less than the top priorities,This cause deserves significant resources but less than the top priorities,This cause should be a near-top priority,"I do not think this is a priority, but should receive some resources",This cause deserves significant resources but less than the top priorities,This cause deserves significant resources but less than the top priorities
This cause should be a near-top priority,This cause should be a near-top priority,This cause should be a near-top priority,This cause deserves significant resources but less than the top priorities,This cause deserves significant resources but less than the top priorities,This cause should be the top priority<e5><ca>(Please choose one),This cause deserves significant resources but less than the top priorities,This cause deserves significant resources but less than the top priorities,This cause should be a near-top priority,This cause should be a near-top priority,This cause should be a near-top priority,This cause should be a near-top priority,This cause should be a near-top priority,This cause should be a near-top priority,This cause deserves significant resources but less than the top priorities,This cause deserves significant resources but less than the top priorities,This cause should be the top priority<e5><ca>(Please choose one),This cause deserves significant resources but less than the top priorities,This cause deserves significant resources but less than the top priorities,This cause should be a near-top priority,This cause should be a near-top priority,This cause should be a near-top priority
This cause should be a near-top priority,This cause should be a near-top priority,This cause should be a near-top priority,This cause should be a near-top priority,This cause should be a near-top priority,This cause should be a near-top priority,This cause should be a near-top priority,This cause should be the top priority<e5><ca>(Please choose one),"I do not think this is a priority, but should receive some resources",This cause deserves significant resources but less than the top priorities,This cause deserves significant resources but less than the top priorities,This cause should be a near-top priority,This cause should be a near-top priority,This cause should be a near-top priority,This cause should be a near-top priority,This cause should be a near-top priority,This cause should be a near-top priority,This cause should be a near-top priority,This cause should be the top priority<e5><ca>(Please choose one),"I do not think this is a priority, but should receive some resources",This cause deserves significant resources but less than the top priorities,This cause deserves significant resources but less than the top priorities
This cause should be a near-top priority,This cause should be the top priority<e5><ca>(Please choose one),This cause should be a near-top priority,This cause deserves significant resources but less than the top priorities,This cause deserves significant resources but less than the top priorities,This cause should be a near-top priority,This cause deserves significant resources but less than the top priorities,This cause deserves significant resources but less than the top priorities,This cause should be a near-top priority,This cause should be a near-top priority,This cause deserves significant resources but less than the top priorities,This cause should be a near-top priority,This cause should be the top priority<e5><ca>(Please choose one),This cause should be a near-top priority,This cause deserves significant resources but less than the top priorities,This cause deserves significant resources but less than the top priorities,This cause should be a near-top priority,This cause deserves significant resources but less than the top priorities,This cause deserves significant resources but less than the top priorities,This cause should be a near-top priority,This cause should be a near-top priority,This cause deserves significant resources but less than the top priorities
This cause deserves significant resources but less than the top priorities,This cause should be the top priority<e5><ca>(Please choose one),This cause should be a near-top priority,This cause deserves significant resources but less than the top priorities,This cause should be a near-top priority,This cause should be a near-top priority,This cause deserves significant resources but less than the top priorities,This cause deserves significant resources but less than the top priorities,"I do not think this is a priority, but should receive some resources",This cause should be a near-top priority,This cause should be a near-top priority,This cause deserves significant resources but less than the top priorities,This cause should be the top priority<e5><ca>(Please choose one),This cause should be a near-top priority,This cause deserves significant resources but less than the top priorities,This cause should be a near-top priority,This cause should be a near-top priority,This cause deserves significant resources but less than the top priorities,This cause deserves significant resources but less than the top priorities,"I do not think this is a priority, but should receive some resources",This cause should be a near-top priority,This cause should be a near-top priority
This cause should be the top priority<e5><ca>(Please choose one),"I do not think this is a priority, but should receive some resources",This cause deserves significant resources but less than the top priorities,This cause should be a near-top priority,This cause deserves significant resources but less than the top priorities,This cause deserves significant resources but less than the top priorities,Not considered / Not sure,This cause should be a near-top priority,"I do not think this is a priority, but should receive some resources",This cause deserves significant resources but less than the top priorities,This cause deserves significant resources but less than the top priorities,This cause should be the top priority<e5><ca>(Please choose one),"I do not think this is a priority, but should receive some resources",This cause deserves significant resources but less than the top priorities,This cause should be a near-top priority,This cause deserves significant resources but less than the top priorities,This cause deserves significant resources but less than the top priorities,Not considered / Not sure,This cause should be a near-top priority,"I do not think this is a priority, but should receive some resources",This cause deserves significant resources but less than the top priorities,This cause deserves significant resources but less than the top priorities
This cause should be the top priority<e5><ca>(Please choose one),This cause should be a near-top priority,This cause deserves significant resources but less than the top priorities,I do not think any resources should be devoted to this cause,This cause deserves significant resources but less than the top priorities,This cause should be a near-top priority,"I do not think this is a priority, but should receive some resources","I do not think this is a priority, but should receive some resources",This cause should be a near-top priority,This cause should be the top priority<e5><ca>(Please choose one),I do not think any resources should be devoted to this cause,This cause should be the top priority<e5><ca>(Please choose one),This cause should be a near-top priority,This cause deserves significant resources but less than the top priorities,I do not think any resources should be devoted to this cause,This cause deserves significant resources but less than the top priorities,This cause should be a near-top priority,"I do not think this is a priority, but should receive some resources","I do not think this is a priority, but should receive some resources",This cause should be a near-top priority,This cause should be the top priority<e5><ca>(Please choose one),I do not think any resources should be devoted to this cause
"I do not think this is a priority, but should receive some resources","I do not think this is a priority, but should receive some resources",This cause deserves significant resources but less than the top priorities,"I do not think this is a priority, but should receive some resources",This cause deserves significant resources but less than the top priorities,This cause should be a near-top priority,I do not think any resources should be devoted to this cause,This cause deserves significant resources but less than the top priorities,"I do not think this is a priority, but should receive some resources",This cause should be a near-top priority,This cause deserves significant resources but less than the top priorities,"I do not think this is a priority, but should receive some resources","I do not think this is a priority, but should receive some resources",This cause deserves significant resources but less than the top priorities,"I do not think this is a priority, but should receive some resources",This cause deserves significant resources but less than the top priorities,This cause should be a near-top priority,I do not think any resources should be devoted to this cause,This cause deserves significant resources but less than the top priorities,"I do not think this is a priority, but should receive some resources",This cause should be a near-top priority,This cause deserves significant resources but less than the top priorities
This cause deserves significant resources but less than the top priorities,This cause deserves significant resources but less than the top priorities,This cause should be a near-top priority,This cause deserves significant resources but less than the top priorities,This cause should be a near-top priority,This cause should be a near-top priority,This cause should be a near-top priority,This cause should be the top priority<e5><ca>(Please choose one),This cause should be a near-top priority,This cause should be a near-top priority,This cause should be a near-top priority,This cause deserves significant resources but less than the top priorities,This cause deserves significant resources but less than the top priorities,This cause should be a near-top priority,This cause deserves significant resources but less than the top priorities,This cause should be a near-top priority,This cause should be a near-top priority,This cause should be a near-top priority,This cause should be the top priority<e5><ca>(Please choose one),This cause should be a near-top priority,This cause should be a near-top priority,This cause should be a near-top priority
I do not think any resources should be devoted to this cause,"I do not think this is a priority, but should receive some resources",This cause deserves significant resources but less than the top priorities,This cause should be a near-top priority,This cause should be a near-top priority,"I do not think this is a priority, but should receive some resources",This cause deserves significant resources but less than the top priorities,This cause should be the top priority<e5><ca>(Please choose one),This cause deserves significant resources but less than the top priorities,This cause should be a near-top priority,This cause deserves significant resources but less than the top priorities,I do not think any resources should be devoted to this cause,"I do not think this is a priority, but should receive some resources",This cause deserves significant resources but less than the top priorities,This cause should be a near-top priority,This cause should be a near-top priority,"I do not think this is a priority, but should receive some resources",This cause deserves significant resources but less than the top priorities,This cause should be the top priority<e5><ca>(Please choose one),This cause deserves significant resources but less than the top priorities,This cause should be a near-top priority,This cause deserves significant resources but less than the top priorities
This cause should be a near-top priority,"I do not think this is a priority, but should receive some resources",This cause deserves significant resources but less than the top priorities,This cause should be the top priority<e5><ca>(Please choose one),This cause should be the top priority<e5><ca>(Please choose one),This cause should be the top priority<e5><ca>(Please choose one),This cause deserves significant resources but less than the top priorities,This cause should be the top priority<e5><ca>(Please choose one),This cause deserves significant resources but less than the top priorities,This cause should be the top priority<e5><ca>(Please choose one),This cause should be the top priority<e5><ca>(Please choose one),This cause should be a near-top priority,"I do not think this is a priority, but should receive some resources",This cause deserves significant resources but less than the top priorities,This cause should be the top priority<e5><ca>(Please choose one),This cause should be the top priority<e5><ca>(Please choose one),This cause should be the top priority<e5><ca>(Please choose one),This cause deserves significant resources but less than the top priorities,This cause should be the top priority<e5><ca>(Please choose one),This cause deserves significant resources but less than the top priorities,This cause should be the top priority<e5><ca>(Please choose one),This cause should be the top priority<e5><ca>(Please choose one)
This cause deserves significant resources but less than the top priorities,This cause should be the top priority<e5><ca>(Please choose one),This cause deserves significant resources but less than the top priorities,"I do not think this is a priority, but should receive some resources",This cause deserves significant resources but less than the top priorities,This cause should be a near-top priority,This cause deserves significant resources but less than the top priorities,"I do not think this is a priority, but should receive some resources",This cause should be a near-top priority,"I do not think this is a priority, but should receive some resources",This cause should be a near-top priority,This cause deserves significant resources but less than the top priorities,This cause should be the top priority<e5><ca>(Please choose one),This cause deserves significant resources but less than the top priorities,"I do not think this is a priority, but should receive some resources",This cause deserves significant resources but less than the top priorities,This cause should be a near-top priority,This cause deserves significant resources but less than the top priorities,"I do not think this is a priority, but should receive some resources",This cause should be a near-top priority,"I do not think this is a priority, but should receive some resources",This cause should be a near-top priority
"I do not think this is a priority, but should receive some resources",This cause deserves significant resources but less than the top priorities,This cause deserves significant resources but less than the top priorities,"I do not think this is a priority, but should receive some resources",This cause deserves significant resources but less than the top priorities,This cause should be the top priority<e5><ca>(Please choose one),"I do not think this is a priority, but should receive some resources",This cause should be a near-top priority,This cause should be a near-top priority,This cause deserves significant resources but less than the top priorities,This cause deserves significant resources but less than the top priorities,"I do not think this is a priority, but should receive some resources",This cause deserves significant resources but less than the top priorities,This cause deserves significant resources but less than the top priorities,"I do not think this is a priority, but should receive some resources",This cause deserves significant resources but less than the top priorities,This cause should be the top priority<e5><ca>(Please choose one),"I do not think this is a priority, but should receive some resources",This cause should be a near-top priority,This cause should be a near-top priority,This cause deserves significant resources but less than the top priorities,This cause deserves significant resources but less than the top priorities
"I do not think this is a priority, but should receive some resources",This cause deserves significant resources but less than the top priorities,This cause should be a near-top priority,NA,This cause deserves significant resources but less than the top priorities,This cause should be the top priority<e5><ca>(Please choose one),"I do not think this is a priority, but should receive some resources","I do not think this is a priority, but should receive some resources",This cause deserves significant resources but less than the top priorities,"I do not think this is a priority, but should receive some resources",This cause deserves significant resources but less than the top priorities,"I do not think this is a priority, but should receive some resources",This cause deserves significant resources but less than the top priorities,This cause should be a near-top priority,NA,This cause deserves significant resources but less than the top priorities,This cause should be the top priority<e5><ca>(Please choose one),"I do not think this is a priority, but should receive some resources","I do not think this is a priority, but should receive some resources",This cause deserves significant resources but less than the top priorities,"I do not think this is a priority, but should receive some resources",This cause deserves significant resources but less than the top priorities
"I do not think this is a priority, but should receive some resources","I do not think this is a priority, but should receive some resources",This cause should be a near-top priority,This cause should be a near-top priority,This cause should be a near-top priority,This cause should be a near-top priority,This cause deserves significant resources but less than the top priorities,This cause should be the top priority<e5><ca>(Please choose one),"I do not think this is a priority, but should receive some resources",This cause deserves significant resources but less than the top priorities,This cause deserves significant resources but less than the top priorities,"I do not think this is a priority, but should receive some resources","I do not think this is a priority, but should receive some resources",This cause should be a near-top priority,This cause should be a near-top priority,This cause should be a near-top priority,This cause should be a near-top priority,This cause deserves significant resources but less than the top priorities,This cause should be the top priority<e5><ca>(Please choose one),"I do not think this is a priority, but should receive some resources",This cause deserves significant resources but less than the top priorities,This cause deserves significant resources but less than the top priorities
This cause should be a near-top priority,This cause deserves significant resources but less than the top priorities,Not considered / Not sure,I do not think any resources should be devoted to this cause,I do not think any resources should be devoted to this cause,"I do not think this is a priority, but should receive some resources",This cause deserves significant resources but less than the top priorities,This cause should be a near-top priority,This cause should be the top priority<e5><ca>(Please choose one),This cause should be a near-top priority,This cause deserves significant resources but less than the top priorities,This cause should be a near-top priority,This cause deserves significant resources but less than the top priorities,Not considered / Not sure,I do not think any resources should be devoted to this cause,I do not think any resources should be devoted to this cause,"I do not think this is a priority, but should receive some resources",This cause deserves significant resources but less than the top priorities,This cause should be a near-top priority,This cause should be the top priority<e5><ca>(Please choose one),This cause should be a near-top priority,This cause deserves significant resources but less than the top priorities
This cause deserves significant resources but less than the top priorities,This cause should be the top priority<e5><ca>(Please choose one),This cause should be a near-top priority,"I do not think this is a priority, but should receive some resources",This cause should be a near-top priority,This cause should be a near-top priority,This cause should be a near-top priority,This cause deserves significant resources but less than the top priorities,This cause should be a near-top priority,This cause should be a near-top priority,This cause should be a near-top priority,This cause deserves significant resources but less than the top priorities,This cause should be the top priority<e5><ca>(Please choose one),This cause should be a near-top priority,"I do not think this is a priority, but should receive some resources",This cause should be a near-top priority,This cause should be a near-top priority,This cause should be a near-top priority,This cause deserves significant resources but less than the top priorities,This cause should be a near-top priority,This cause should be a near-top priority,This cause should be a near-top priority
This cause should be a near-top priority,I do not think any resources should be devoted to this cause,"I do not think this is a priority, but should receive some resources",This cause deserves significant resources but less than the top priorities,This cause deserves significant resources but less than the top priorities,This cause deserves significant resources but less than the top priorities,I do not think any resources should be devoted to this cause,This cause should be a near-top priority,I do not think any resources should be devoted to this cause,"I do not think this is a priority, but should receive some resources",This cause should be a near-top priority,This cause should be a near-top priority,I do not think any resources should be devoted to this cause,"I do not think this is a priority, but should receive some resources",This cause deserves significant resources but less than the top priorities,This cause deserves significant resources but less than the top priorities,This cause deserves significant resources but less than the top priorities,I do not think any resources should be devoted to this cause,This cause should be a near-top priority,I do not think any resources should be devoted to this cause,"I do not think this is a priority, but should receive some resources",This cause should be a near-top priority
This cause deserves significant resources but less than the top priorities,This cause should be the top priority<e5><ca>(Please choose one),This cause deserves significant resources but less than the top priorities,This cause deserves significant resources but less than the top priorities,This cause deserves significant resources but less than the top priorities,This cause should be a near-top priority,"I do not think this is a priority, but should receive some resources",This cause deserves significant resources but less than the top priorities,This cause should be a near-top priority,This cause should be a near-top priority,This cause deserves significant resources but less than the top priorities,This cause deserves significant resources but less than the top priorities,This cause should be the top priority<e5><ca>(Please choose one),This cause deserves significant resources but less than the top priorities,This cause deserves significant resources but less than the top priorities,This cause deserves significant resources but less than the top priorities,This cause should be a near-top priority,"I do not think this is a priority, but should receive some resources",This cause deserves significant resources but less than the top priorities,This cause should be a near-top priority,This cause should be a near-top priority,This cause deserves significant resources but less than the top priorities
This cause should be a near-top priority,This cause should be the top priority<e5><ca>(Please choose one),"I do not think this is a priority, but should receive some resources",I do not think any resources should be devoted to this cause,"I do not think this is a priority, but should receive some resources",This cause deserves significant resources but less than the top priorities,"I do not think this is a priority, but should receive some resources",This cause deserves significant resources but less than the top priorities,"I do not think this is a priority, but should receive some resources",This cause should be a near-top priority,"I do not think this is a priority, but should receive some resources",This cause should be a near-top priority,This cause should be the top priority<e5><ca>(Please choose one),"I do not think this is a priority, but should receive some resources",I do not think any resources should be devoted to this cause,"I do not think this is a priority, but should receive some resources",This cause deserves significant resources but less than the top priorities,"I do not think this is a priority, but should receive some resources",This cause deserves significant resources but less than the top priorities,"I do not think this is a priority, but should receive some resources",This cause should be a near-top priority,"I do not think this is a priority, but should receive some resources"
"I do not think this is a priority, but should receive some resources",This cause deserves significant resources but less than the top priorities,This cause should be a near-top priority,This cause deserves significant resources but less than the top priorities,This cause should be a near-top priority,This cause should be the top priority<e5><ca>(Please choose one),This cause deserves significant resources but less than the top priorities,This cause should be a near-top priority,This cause deserves significant resources but less than the top priorities,This cause deserves significant resources but less than the top priorities,This cause should be a near-top priority,"I do not think this is a priority, but should receive some resources",This cause deserves significant resources but less than the top priorities,This cause should be a near-top priority,This cause deserves significant resources but less than the top priorities,This cause should be a near-top priority,This cause should be the top priority<e5><ca>(Please choose one),This cause deserves significant resources but less than the top priorities,This cause should be a near-top priority,This cause deserves significant resources but less than the top priorities,This cause deserves significant resources but less than the top priorities,This cause should be a near-top priority
"I do not think this is a priority, but should receive some resources","I do not think this is a priority, but should receive some resources",This cause should be a near-top priority,This cause should be a near-top priority,"I do not think this is a priority, but should receive some resources","I do not think this is a priority, but should receive some resources","I do not think this is a priority, but should receive some resources",NA,"I do not think this is a priority, but should receive some resources","I do not think this is a priority, but should receive some resources","I do not think this is a priority, but should receive some resources","I do not think this is a priority, but should receive some resources","I do not think this is a priority, but should receive some resources",This cause should be a near-top priority,This cause should be a near-top priority,"I do not think this is a priority, but should receive some resources","I do not think this is a priority, but should receive some resources","I do not think this is a priority, but should receive some resources",NA,"I do not think this is a priority, but should receive some resources","I do not think this is a priority, but should receive some resources","I do not think this is a priority, but should receive some resources"
"I do not think this is a priority, but should receive some resources",This cause deserves significant resources but less than the top priorities,This cause deserves significant resources but less than the top priorities,This cause deserves significant resources but less than the top priorities,This cause deserves significant resources but less than the top priorities,This cause deserves significant resources but less than the top priorities,"I do not think this is a priority, but should receive some resources",This cause deserves significant resources but less than the top priorities,"I do not think this is a priority, but should receive some resources",This cause should be a near-top priority,This cause should be a near-top priority,"I do not think this is a priority, but should receive some resources",This cause deserves significant resources but less than the top priorities,This cause deserves significant resources but less than the top priorities,This cause deserves significant resources but less than the top priorities,This cause deserves significant resources but less than the top priorities,This cause deserves significant resources but less than the top priorities,"I do not think this is a priority, but should receive some resources",This cause deserves significant resources but less than the top priorities,"I do not think this is a priority, but should receive some resources",This cause should be a near-top priority,This cause should be a near-top priority
"I do not think this is a priority, but should receive some resources",This cause should be a near-top priority,This cause should be a near-top priority,"I do not think this is a priority, but should receive some resources",This cause deserves significant resources but less than the top priorities,This cause should be a near-top priority,"I do not think this is a priority, but should receive some resources","I do not think this is a priority, but should receive some resources",This cause should be a near-top priority,This cause should be a near-top priority,This cause should be a near-top priority,"I do not think this is a priority, but should receive some resources",This cause should be a near-top priority,This cause should be a near-top priority,"I do not think this is a priority, but should receive some resources",This cause deserves significant resources but less than the top priorities,This cause should be a near-top priority,"I do not think this is a priority, but should receive some resources","I do not think this is a priority, but should receive some resources",This cause should be a near-top priority,This cause should be a near-top priority,This cause should be a near-top priority
This cause should be a near-top priority,This cause deserves significant resources but less than the top priorities,This cause deserves significant resources but less than the top priorities,This cause should be the top priority<e5><ca>(Please choose one),This cause deserves significant resources but less than the top priorities,This cause deserves significant resources but less than the top priorities,This cause deserves significant resources but less than the top priorities,This cause should be a near-top priority,This cause deserves significant resources but less than the top priorities,This cause deserves significant resources but less than the top priorities,This cause should be a near-top priority,This cause should be a near-top priority,This cause deserves significant resources but less than the top priorities,This cause deserves significant resources but less than the top priorities,This cause should be the top priority<e5><ca>(Please choose one),This cause deserves significant resources but less than the top priorities,This cause deserves significant resources but less than the top priorities,This cause deserves significant resources but less than the top priorities,This cause should be a near-top priority,This cause deserves significant resources but less than the top priorities,This cause deserves significant resources but less than the top priorities,This cause should be a near-top priority
This cause should be the top priority<e5><ca>(Please choose one),This cause deserves significant resources but less than the top priorities,This cause deserves significant resources but less than the top priorities,This cause deserves significant resources but less than the top priorities,"I do not think this is a priority, but should receive some resources",This cause should be a near-top priority,"I do not think this is a priority, but should receive some resources",This cause should be a near-top priority,"I do not think this is a priority, but should receive some resources",This cause deserves significant resources but less than the top priorities,This cause should be a near-top priority,This cause should be the top priority<e5><ca>(Please choose one),This cause deserves significant resources but less than the top priorities,This cause deserves significant resources but less than the top priorities,This cause deserves significant resources but less than the top priorities,"I do not think this is a priority, but should receive some resources",This cause should be a near-top priority,"I do not think this is a priority, but should receive some resources",This cause should be a near-top priority,"I do not think this is a priority, but should receive some resources",This cause deserves significant resources but less than the top priorities,This cause should be a near-top priority
This cause deserves significant resources but less than the top priorities,This cause deserves significant resources but less than the top priorities,"I do not think this is a priority, but should receive some resources",I do not think any resources should be devoted to this cause,"I do not think this is a priority, but should receive some resources",This cause deserves significant resources but less than the top priorities,This cause should be a near-top priority,I do not think any resources should be devoted to this cause,This cause should be a near-top priority,"I do not think this is a priority, but should receive some resources",Not considered / Not sure,This cause deserves significant resources but less than the top priorities,This cause deserves significant resources but less than the top priorities,"I do not think this is a priority, but should receive some resources",I do not think any resources should be devoted to this cause,"I do not think this is a priority, but should receive some resources",This cause deserves significant resources but less than the top priorities,This cause should be a near-top priority,I do not think any resources should be devoted to this cause,This cause should be a near-top priority,"I do not think this is a priority, but should receive some resources",Not considered / Not sure
"I do not think this is a priority, but should receive some resources",This cause should be a near-top priority,This cause should be the top priority<e5><ca>(Please choose one),"I do not think this is a priority, but should receive some resources",This cause deserves significant resources but less than the top priorities,This cause should be the top priority<e5><ca>(Please choose one),This cause deserves significant resources but less than the top priorities,"I do not think this is a priority, but should receive some resources",This cause should be the top priority<e5><ca>(Please choose one),This cause should be a near-top priority,This cause should be a near-top priority,"I do not think this is a priority, but should receive some resources",This cause should be a near-top priority,This cause should be the top priority<e5><ca>(Please choose one),"I do not think this is a priority, but should receive some resources",This cause deserves significant resources but less than the top priorities,This cause should be the top priority<e5><ca>(Please choose one),This cause deserves significant resources but less than the top priorities,"I do not think this is a priority, but should receive some resources",This cause should be the top priority<e5><ca>(Please choose one),This cause should be a near-top priority,This cause should be a near-top priority
This cause should be a near-top priority,This cause should be a near-top priority,This cause deserves significant resources but less than the top priorities,"I do not think this is a priority, but should receive some resources","I do not think this is a priority, but should receive some resources",This cause should be the top priority<e5><ca>(Please choose one),This cause deserves significant resources but less than the top priorities,This cause should be a near-top priority,"I do not think this is a priority, but should receive some resources",This cause should be a near-top priority,"I do not think this is a priority, but should receive some resources",This cause should be a near-top priority,This cause should be a near-top priority,This cause deserves significant resources but less than the top priorities,"I do not think this is a priority, but should receive some resources","I do not think this is a priority, but should receive some resources",This cause should be the top priority<e5><ca>(Please choose one),This cause deserves significant resources but less than the top priorities,This cause should be a near-top priority,"I do not think this is a priority, but should receive some resources",This cause should be a near-top priority,"I do not think this is a priority, but should receive some resources"
"I do not think this is a priority, but should receive some resources",This cause should be a near-top priority,This cause should be a near-top priority,This cause deserves significant resources but less than the top priorities,This cause should be a near-top priority,This cause should be a near-top priority,"I do not think this is a priority, but should receive some resources",This cause should be the top priority<e5><ca>(Please choose one),This cause deserves significant resources but less than the top priorities,This cause should be a near-top priority,This cause deserves significant resources but less than the top priorities,"I do not think this is a priority, but should receive some resources",This cause should be a near-top priority,This cause should be a near-top priority,This cause deserves significant resources but less than the top priorities,This cause should be a near-top priority,This cause should be a near-top priority,"I do not think this is a priority, but should receive some resources",This cause should be the top priority<e5><ca>(Please choose one),This cause deserves significant resources but less than the top priorities,This cause should be a near-top priority,This cause deserves significant resources but less than the top priorities
